"","president","birth_date","birth_place","death_date","death_place","lived_years"
"40","George Bush","1924-06-12","Milton, Mass.","2018-11-30","Houston, Texas",94
"37","Gerald Ford","1913-07-14","Omaha, Nebraska","2006-12-26","Rancho Mirage, Cal.",93
"39","Ronald Reagan","1911-02-06","Tampico, Illinois","2004-06-05","Los Angeles, Cal.",93
"2","John Adams","1735-10-30","Quincy, Mass.","1826-07-04","Quincy, Mass.",90
"30","Herbert Hoover","1874-08-10","West Branch, Iowa","1964-10-20","New York, New York",90
"32","Harry S. Truman","1884-05-08","Lamar, Missouri","1972-12-26","Kansas City, Missouri",88
"4","James Madison","1751-03-16","Port Conway, Va.","1836-06-28","Orange Co., Va.",85
"3","Thomas Jefferson","1743-04-13","Albemarle Co., Va.","1826-07-04","Albemarle Co., Va.",83
"36","Richard Nixon","1913-01-09","Yorba Linda, Cal.","1994-04-22","New York, New York",81
"6","John Quincy Adams","1767-07-11","Quincy, Mass.","1848-02-23","Washington, D.C.",80
